label,tweet
love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat"
love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months
love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya "
love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu""."
love,"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k"
love,Baru liat dan bener-bener dengerin secara seksama nissa dengan sabyan nya yang lg naik daun itu. Asli ga ada rusak-rusaknya itu suara flawless bening benerrr kaya gelas beling abis dicuci pake s*unlight jadi bersih bersinar gitu deh. Heran.
love,"Ada waktunya, sayang berubah jadi butuh. Perhatian berubah jadi pengertian. Percaya berubah jadi yakin. Itu semua akan terjadi kalau kamu dan dia saling melengkapi. Tidak mencari kurang. Tidak mencari salah. Tidak mencari yg lebih."
love,Ngak ngerti lagi deh gue. Kok bisa2nya ada orang di dunia ini yg berdiri ajah tuh udah keren. T-Shirt doang. Gila ngak tu... [USERNAME] [USERNAME] [URL]
love,gw lagi dengerin lagu2 Zayn Malik dulu gw benci banget ma doi gara2 keluar dari 1D dah gitu gayanya tengil tapi semenjak rilis lagu pillow talk blh juga wqwq trus lanjut deh sampai skrg suka dengerin lagu2nya **memang terkadang manusia sering menjilat ludah sendiri 
love,ku tatap wajahmu saat pertama kita bertemu terasa bergetar jiwaku saat kau tersenyum padaku i love u. #ARMYSelcaDay [USERNAME]
love,"Aku hanyalah ciptaan tuhan, bukan superhero apalagi malaikat. Aku hanya bisa melakukan apa yang aku lakukan dek. Itulah aku, anak nomor tiga yang murah hati, dan aku mohon semoga kamu cepat tau dek "
love,"Aku hanyalah ciptaan tuhan, bukan superhero apalagi malaikat. Aku hanya bisa melakukan apa yang aku lakukan dek. Itulah aku, anak nomor tiga yang murah hati, dan aku mohon semoga kamu cepat tau dek  #menjauhdarijanji?"
love,"Aku tak mudah untuk mencintai, aku tak mudah mengaku ku cinta, aku tak mudah, mengatakan aku jatuh cintaaaaa. Senandungku hanya untuk cinta, tirakatku hanya untuk engkau, tiada dusta sumpah ku cinta, sampai ku menutup mataa. biarlah seperti langit, kau pandangi setiap hari,sesak tak bisa dimiliki. Aku biarlah seperti langit, jika suka kuberikan senja, jika duka kuberikan nestapa."
love,"Kesabaran mu menghadapi ku yg membuat ku bertahan, perhatian mu yg membuat ku bertahan sayang mu pada ku pulang yg membuat mu bertahan,Keyakinan mu menjaga ku lah yg membuat ku bertahan... trimakasih sayang smoga bs lewati semua #LDRkronis"
love,"Um thanks for [USERNAME] yang nayangin teleseries "" jejak suara adzan "", jatuh cinta sama trailer dan eps pertama. Ditambah pemeran dimas, my favorite actor. "
love,"Qyara kau tau, ibumu adalah sosok terpenting di perjalanan hidupku. Dia merubah ku menjadi aku yg lbh banyak berfikir sebelum bertindak. Dia menekan ego dan amarahku. Dia seseorang yg mengenalkan ku pada apa arti kata mencintai dan menghargai. Aku sngt berterimakasih pdnya."
